Waktu (detik),Tegangan (V),Arus (A)
502.0,24.5,3.0100000000000002
503.0,24.51,3.0700000000000003
504.0,24.5,3.19
505.0,24.49,3.18
506.0,24.49,3.21
507.0,24.48,3.33
508.0,24.47,3.3200000000000003
509.0,24.48,3.17
510.0,24.48,3.23
511.0,24.47,3.25
512.0,24.47,3.18
513.0,24.47,3.17
514.0,24.47,3.1100000000000003
515.0,24.48,3.0500000000000003
516.0,24.48,3.06
517.0,24.49,3.1300000000000003
518.0,24.49,3.08
519.0,24.49,3.14
520.0,24.49,3.15
521.0,24.5,2.96
522.0,24.5,3.0300000000000002
523.0,24.5,2.88
524.0,24.5,2.9
525.0,24.49,3.0100000000000002
526.0,24.49,3.06
527.0,24.49,3.06
528.0,24.48,3.17
529.0,24.48,3.19
530.0,24.49,3.17
531.0,24.49,3.22
532.0,24.48,3.2600000000000002
533.0,24.48,3.3600000000000003
534.0,24.48,3.46
535.0,24.48,3.5300000000000002
536.0,24.48,3.49
537.0,24.48,3.52
538.0,24.47,3.6
539.0,24.47,3.69
540.0,24.47,3.7600000000000002
541.0,24.46,3.83
542.0,24.46,3.85
543.0,24.46,3.8600000000000003
544.0,24.47,3.73
545.0,24.48,3.5900000000000003
546.0,24.48,3.49
547.0,24.49,3.2800000000000002
548.0,24.49,3.19
549.0,24.49,3.1300000000000003
550.0,24.5,3.04
551.0,24.5,2.9
552.0,24.5,2.89
553.0,24.5,2.92
554.0,24.5,2.84
555.0,24.5,2.94
556.0,24.5,2.87
557.0,24.49,3.02
558.0,24.5,3.0
559.0,24.5,2.91
560.0,24.5,2.92
561.0,24.49,3.06
562.0,24.5,3.0500000000000003
563.0,24.5,3.0500000000000003
564.0,24.49,3.2800000000000002
565.0,24.48,3.23
566.0,24.48,3.39
567.0,24.48,3.39
568.0,24.49,3.31
569.0,24.48,3.3400000000000003
570.0,24.47,3.45
571.0,24.48,3.42
572.0,24.48,3.3200000000000003
573.0,24.47,3.39
574.0,24.48,3.22
575.0,24.48,3.21
576.0,24.49,3.14
577.0,24.49,3.0300000000000002
578.0,24.49,3.04
579.0,24.48,3.1100000000000003
580.0,24.48,3.12
581.0,24.48,3.1100000000000003
582.0,24.48,3.1100000000000003
583.0,24.49,3.08
584.0,24.48,3.1300000000000003
585.0,24.49,3.0300000000000002
586.0,24.49,3.0100000000000002
587.0,24.48,3.17
588.0,24.48,3.21
589.0,24.5,3.06
590.0,24.5,3.0500000000000003
591.0,24.5,3.0300000000000002
592.0,24.49,3.08
593.0,24.49,3.12
594.0,24.49,3.1100000000000003
595.0,24.48,3.18
596.0,24.48,3.31
597.0,24.48,3.22
598.0,24.48,3.23
599.0,24.48,3.22
600.0,24.48,3.22
601.0,24.48,3.16
602.0,24.48,3.33
603.0,24.49,3.0900000000000003
604.0,24.48,3.15
605.0,24.48,3.2600000000000002
606.0,24.48,3.19
607.0,24.49,3.1100000000000003
608.0,24.48,3.19
609.0,24.48,3.21
610.0,24.49,3.08
611.0,24.48,3.23
612.0,24.48,3.1100000000000003
613.0,24.48,3.23
614.0,24.49,3.08
615.0,24.5,2.94
616.0,24.51,2.89
617.0,24.5,3.0300000000000002
618.0,24.5,2.97
619.0,24.5,2.97
620.0,24.5,2.92
621.0,24.5,2.79
622.0,24.51,2.8
623.0,24.51,2.86
624.0,24.5,3.06
625.0,24.49,3.16
626.0,24.48,3.19
627.0,24.49,3.0
628.0,24.49,2.99
629.0,24.49,3.15
630.0,24.48,3.35
631.0,24.47,3.52
632.0,24.47,3.65
633.0,24.46,3.68
634.0,24.46,3.71
635.0,24.46,3.71
636.0,24.47,3.65
637.0,24.47,3.73
638.0,24.47,3.64
639.0,24.47,3.58
640.0,24.47,3.56
641.0,24.47,3.49
642.0,24.48,3.37
643.0,24.48,3.22
644.0,24.5,3.0
645.0,24.5,2.85
646.0,24.5,2.78
647.0,24.49,2.78
648.0,24.49,2.81
649.0,24.49,2.89
650.0,24.48,2.92
651.0,24.48,2.92
652.0,24.48,2.95
653.0,24.48,3.06
654.0,24.47,3.24
655.0,24.47,3.41
656.0,24.46,3.54
657.0,24.46,3.56
658.0,24.45,3.62
659.0,24.45,3.58
660.0,24.46,3.5100000000000002
661.0,24.46,3.54
662.0,24.46,3.5300000000000002
663.0,24.46,3.41
664.0,24.47,3.22
665.0,24.47,3.16
666.0,24.47,3.24
667.0,24.47,3.27
668.0,24.48,3.16
669.0,24.48,3.0900000000000003
670.0,24.48,3.1100000000000003
671.0,24.49,3.02
672.0,24.5,2.95
673.0,24.5,2.96
674.0,24.5,2.96
675.0,24.51,2.86
676.0,24.51,2.66
677.0,24.5,2.68
678.0,24.5,2.87
679.0,24.49,2.95
680.0,24.49,2.87
681.0,24.49,2.83
682.0,24.48,2.87
683.0,24.48,2.94
684.0,24.47,3.1100000000000003
685.0,24.47,3.15
686.0,24.46,3.33
687.0,24.47,3.22
688.0,24.48,3.14
689.0,24.49,2.97
690.0,24.49,3.0900000000000003
691.0,24.49,3.0300000000000002
692.0,24.49,3.18
693.0,24.5,3.06
694.0,24.5,3.12
695.0,24.5,3.1300000000000003
696.0,24.5,3.0100000000000002
697.0,24.49,3.22
698.0,24.49,3.29
699.0,24.48,3.3800000000000003
700.0,24.49,3.15
701.0,24.48,3.24
702.0,24.49,3.16
703.0,24.48,3.23
704.0,24.49,3.0300000000000002
705.0,24.48,3.08
706.0,24.48,3.1
707.0,24.49,2.93
708.0,24.49,2.92
709.0,24.48,2.88
710.0,24.48,3.08
711.0,24.48,3.0500000000000003
712.0,24.48,2.96
713.0,24.48,2.95
714.0,24.48,2.98
715.0,24.49,2.87
716.0,24.49,2.82
717.0,24.49,2.97
718.0,24.49,2.93
719.0,24.49,2.87
720.0,24.5,2.75
721.0,24.5,2.84
722.0,24.49,2.99
723.0,24.48,2.96
724.0,24.48,2.99
725.0,24.47,3.2
726.0,24.47,3.25
727.0,24.47,3.24
728.0,24.48,3.21
729.0,24.47,3.25
730.0,24.47,3.3000000000000003
731.0,24.47,3.3000000000000003
732.0,24.47,3.3000000000000003
733.0,24.47,3.2600000000000002
734.0,24.46,3.3200000000000003
735.0,24.47,3.08
736.0,24.48,3.0700000000000003
737.0,24.48,2.97
738.0,24.48,2.95
739.0,24.48,3.0100000000000002
740.0,24.49,2.96
741.0,24.49,2.85
742.0,24.5,2.71
743.0,24.51,2.72
744.0,24.51,2.57
745.0,24.51,2.69
746.0,24.51,2.72
747.0,24.51,2.73
748.0,24.51,2.67
749.0,24.5,2.73
750.0,24.5,2.73
751.0,24.5,2.8
752.0,24.49,2.75
753.0,24.48,2.97
754.0,24.48,3.0
755.0,24.48,3.1100000000000003
756.0,24.49,2.98
757.0,24.49,2.99
758.0,24.49,3.17
759.0,24.49,3.0900000000000003
760.0,24.5,3.08
761.0,24.5,3.02
762.0,24.5,3.1100000000000003
763.0,24.5,3.0900000000000003
764.0,24.49,3.17
765.0,24.5,2.95
766.0,24.49,2.97
767.0,24.49,3.02
768.0,24.49,3.02
769.0,24.49,3.0
770.0,24.49,2.94
771.0,24.49,2.92
772.0,24.49,2.95
773.0,24.49,2.84
774.0,24.49,2.86
775.0,24.48,3.0500000000000003
776.0,24.48,3.21
777.0,24.48,3.17
778.0,24.49,3.06
779.0,24.49,3.06
780.0,24.49,3.06
781.0,24.49,2.99
782.0,24.49,2.89
783.0,24.49,2.77
784.0,24.49,2.78
785.0,24.49,2.77
786.0,24.49,2.72
787.0,24.49,2.67
788.0,24.49,2.59
789.0,24.49,2.68
790.0,24.48,2.92
791.0,24.47,3.1300000000000003
792.0,24.47,3.31
793.0,24.46,3.5
794.0,24.47,3.52
795.0,24.47,3.5100000000000002
796.0,24.47,3.52
797.0,24.47,3.5500000000000003
798.0,24.47,3.62
799.0,24.47,3.5500000000000003
800.0,24.48,3.37
801.0,24.49,3.23
802.0,24.5,3.0300000000000002
803.0,24.5,2.86
804.0,24.5,2.71
805.0,24.5,2.63
806.0,24.5,2.48
807.0,24.5,2.49
808.0,24.49,2.61
809.0,24.49,2.59
810.0,24.48,2.61
811.0,24.48,2.77
812.0,24.47,2.87
813.0,24.47,2.95
814.0,24.48,2.9
815.0,24.49,2.82
816.0,24.48,2.9
817.0,24.48,2.9
818.0,24.48,2.88
819.0,24.47,2.97
820.0,24.47,2.95
821.0,24.48,2.71
822.0,24.48,2.67
823.0,24.49,2.6
824.0,24.49,2.66
825.0,24.49,2.72
826.0,24.49,2.74
827.0,24.49,2.72
828.0,24.49,2.75
829.0,24.49,2.79
830.0,24.49,2.94
831.0,24.48,3.16
832.0,24.47,3.3200000000000003
833.0,24.46,3.49
834.0,24.45,3.67
835.0,24.44,3.81
836.0,24.44,3.91
837.0,24.45,3.89
838.0,24.46,3.73
839.0,24.47,3.58
840.0,24.47,3.3800000000000003
841.0,24.48,3.31
842.0,24.48,3.27
843.0,24.48,3.14
844.0,24.49,3.0300000000000002
845.0,24.5,2.88
846.0,24.5,2.74
847.0,24.5,2.89
848.0,24.5,2.89
849.0,24.49,2.95
850.0,24.49,3.0100000000000002
851.0,24.49,3.04
852.0,24.5,2.92
853.0,24.5,2.86
854.0,24.5,2.84
855.0,24.5,2.94
856.0,24.49,3.14
857.0,24.49,3.0300000000000002
858.0,24.49,2.97
859.0,24.49,2.94
860.0,24.49,3.0
861.0,24.49,3.0100000000000002
862.0,24.48,3.1100000000000003
863.0,24.48,3.08
864.0,24.48,2.99
865.0,24.49,2.9
866.0,24.49,2.7600000000000002
867.0,24.49,2.84
868.0,24.49,2.85
869.0,24.49,2.87
870.0,24.48,2.96
871.0,24.48,2.86
872.0,24.49,2.73
873.0,24.49,2.74
874.0,24.49,2.72
875.0,24.48,2.73
876.0,24.48,2.85
877.0,24.48,2.84
878.0,24.47,2.95
879.0,24.47,2.91
880.0,24.48,2.85
881.0,24.48,2.81
882.0,24.48,2.97
883.0,24.48,3.0100000000000002
884.0,24.47,3.23
885.0,24.47,3.23
886.0,24.48,3.06
887.0,24.48,2.97
888.0,24.49,3.08
889.0,24.48,3.19
890.0,24.48,3.0700000000000003
891.0,24.48,3.18
892.0,24.48,3.0500000000000003
893.0,24.47,3.24
894.0,24.48,3.0700000000000003
895.0,24.47,3.23
896.0,24.47,3.2
897.0,24.46,3.3200000000000003
898.0,24.47,3.1300000000000003
899.0,24.48,3.12
900.0,24.46,3.24
901.0,24.47,3.1100000000000003
902.0,24.47,3.21
903.0,24.47,3.21
904.0,24.47,3.25
905.0,24.47,3.14
906.0,24.47,3.3200000000000003
907.0,24.48,3.1
908.0,24.47,3.17
909.0,24.47,3.22
910.0,24.48,3.08
911.0,24.47,3.22
912.0,24.47,3.15
913.0,24.48,3.06
914.0,24.47,3.1100000000000003
915.0,24.47,3.08
916.0,24.47,3.0900000000000003
917.0,24.46,3.29
918.0,24.47,3.2
919.0,24.48,3.0500000000000003
920.0,24.47,3.27
921.0,24.47,3.16
922.0,24.47,3.2800000000000002
923.0,24.48,3.14
924.0,24.47,3.14
925.0,24.46,3.27
926.0,24.47,3.17
927.0,24.48,2.97
928.0,24.47,3.17
929.0,24.46,3.24
930.0,24.47,3.0900000000000003
931.0,24.47,3.16
932.0,24.46,3.19
933.0,24.46,3.29
934.0,24.46,3.24
935.0,24.47,3.14
936.0,24.47,3.0900000000000003
937.0,24.47,3.2
938.0,24.48,2.98
939.0,24.47,3.04
940.0,24.47,3.0
941.0,24.47,3.0900000000000003
942.0,24.48,2.91
943.0,24.48,2.88
944.0,24.48,2.98
945.0,24.48,2.95
946.0,24.48,2.97
947.0,24.48,3.0100000000000002
948.0,24.48,3.0500000000000003
949.0,24.48,3.0700000000000003
950.0,24.48,3.04
951.0,24.48,3.0500000000000003
952.0,24.48,3.0500000000000003
953.0,24.47,3.08
954.0,24.47,3.14
955.0,24.47,3.17
956.0,24.48,3.1
957.0,24.47,3.1300000000000003
958.0,24.47,3.21
959.0,24.48,3.0100000000000002
960.0,24.48,3.0900000000000003
961.0,24.47,3.08
962.0,24.46,3.22
963.0,24.47,3.2
964.0,24.48,2.97
965.0,24.47,2.95
966.0,24.47,2.96
967.0,24.48,2.85
968.0,24.47,2.92
969.0,24.46,3.04
970.0,24.46,3.08
971.0,24.47,3.0500000000000003
972.0,24.46,3.0500000000000003
973.0,24.46,2.96
974.0,24.46,3.04
975.0,24.46,3.1300000000000003
976.0,24.45,3.33
977.0,24.45,3.33
978.0,24.46,3.1300000000000003
979.0,24.47,3.0700000000000003
980.0,24.47,3.12
981.0,24.47,3.0900000000000003
982.0,24.48,3.02
983.0,24.47,3.1300000000000003
984.0,24.47,3.18
985.0,24.47,3.0900000000000003
986.0,24.48,2.97
987.0,24.49,2.96
988.0,24.49,3.08
989.0,24.48,3.2
990.0,24.48,3.0900000000000003
991.0,24.49,3.0300000000000002
992.0,24.49,3.0100000000000002
993.0,24.48,3.12
994.0,24.48,3.23
995.0,24.47,3.35
996.0,24.47,3.2600000000000002
997.0,24.47,3.33
998.0,24.46,3.33
999.0,24.47,3.23
1000.0,24.46,3.3200000000000003
1001.0,24.46,3.29
1002.0,24.46,3.3000000000000003
1003.0,24.46,3.18
1004.0,24.46,3.17
1005.0,24.47,3.02
1006.0,24.46,3.12
1007.0,24.46,3.1
1008.0,24.46,3.14
1009.0,24.46,3.0500000000000003
1010.0,24.48,2.95
1011.0,24.47,2.96
1012.0,24.48,2.94
1013.0,24.48,2.96
1014.0,24.48,2.97
1015.0,24.47,2.97
1016.0,24.48,2.94
1017.0,24.48,2.99
1018.0,24.48,2.95
1019.0,24.48,3.0100000000000002
1020.0,24.46,3.17
1021.0,24.45,3.35
1022.0,24.45,3.43
1023.0,24.45,3.44
1024.0,24.46,3.25
1025.0,24.47,3.2600000000000002
1026.0,24.46,3.3000000000000003
1027.0,24.46,3.3200000000000003
1028.0,24.47,3.33
1029.0,24.48,3.2800000000000002
1030.0,24.49,3.0900000000000003
1031.0,24.5,2.85
1032.0,24.5,2.77
1033.0,24.5,2.77
1034.0,24.49,2.93
1035.0,24.48,3.04
1036.0,24.48,3.1300000000000003
1037.0,24.47,3.18
1038.0,24.46,3.29
1039.0,24.45,3.5
1040.0,24.44,3.69
1041.0,24.43,3.92
1042.0,24.42,4.02
1043.0,24.42,4.08
1044.0,24.42,4.09
1045.0,24.42,4.05
1046.0,24.43,3.8600000000000003
1047.0,24.43,3.7600000000000002
1048.0,24.43,3.7600000000000002
1049.0,24.43,3.6300000000000003
1050.0,24.44,3.46
1051.0,24.44,3.2600000000000002
