Waktu (detik),Tegangan (V),Arus (A)
567.0,11.5,3.87
568.0,11.43,3.87
569.0,11.57,3.5300000000000002
570.0,11.5,3.8200000000000003
571.0,11.67,2.7
572.0,11.47,3.8200000000000003
573.0,11.67,2.65
574.0,11.4,4.16
575.0,11.47,3.77
576.0,11.67,3.18
577.0,11.52,3.77
578.0,11.62,2.99
579.0,11.55,3.58
580.0,11.69,2.79
581.0,11.4,4.11
582.0,11.4,4.41
583.0,11.65,2.89
584.0,11.67,2.75
585.0,11.4,4.41
586.0,11.55,3.43
587.0,11.4,4.06
588.0,11.4,4.21
589.0,11.55,3.62
590.0,11.43,4.5
591.0,11.5,3.92
592.0,11.38,4.26
593.0,11.52,3.92
594.0,11.45,4.36
595.0,11.62,2.94
596.0,11.52,3.5300000000000002
597.0,11.4,4.16
598.0,11.55,3.67
599.0,11.57,3.43
600.0,11.52,3.48
601.0,11.38,4.21
602.0,11.67,2.7
603.0,11.57,2.99
604.0,11.57,3.04
605.0,11.52,3.8200000000000003
606.0,11.6,3.33
607.0,11.45,3.72
608.0,11.52,3.72
609.0,11.55,3.04
610.0,11.4,3.92
611.0,11.69,2.45
612.0,11.38,4.31
613.0,11.67,2.65
614.0,11.52,3.8200000000000003
615.0,11.6,3.0900000000000003
616.0,11.47,3.87
617.0,11.45,4.21
618.0,11.67,2.45
619.0,11.67,2.21
620.0,11.69,2.65
621.0,11.45,3.8200000000000003
622.0,11.55,3.3800000000000003
623.0,11.67,2.45
624.0,11.47,3.43
625.0,11.65,2.6
626.0,11.52,3.3800000000000003
627.0,11.5,3.72
628.0,11.69,2.45
629.0,11.6,2.6
630.0,11.6,3.14
631.0,11.62,2.45
632.0,11.6,2.99
633.0,11.57,3.0900000000000003
634.0,11.5,3.3800000000000003
635.0,11.55,3.43
636.0,11.62,2.75
637.0,11.69,2.5
638.0,11.45,3.72
639.0,11.62,2.84
640.0,11.38,4.21
641.0,11.4,3.87
642.0,11.6,2.7
643.0,11.5,3.18
644.0,11.67,2.7
645.0,11.52,3.72
646.0,11.55,3.72
647.0,11.45,4.02
648.0,11.47,4.06
649.0,11.72,3.04
650.0,11.65,2.89
651.0,11.38,4.55
652.0,11.52,4.02
653.0,11.5,3.77
654.0,11.69,2.79
655.0,11.55,3.67
656.0,11.65,3.23
657.0,11.67,2.7
658.0,11.67,2.75
659.0,11.55,3.67
660.0,11.67,3.2800000000000002
661.0,11.57,3.48
662.0,11.55,2.89
663.0,11.43,3.8200000000000003
664.0,11.47,4.06
665.0,11.6,3.33
666.0,11.65,2.79
667.0,11.69,2.99
668.0,11.57,3.62
669.0,11.62,3.0900000000000003
670.0,11.69,2.99
671.0,11.45,4.16
672.0,11.45,4.16
673.0,11.52,3.58
674.0,11.35,4.7
675.0,11.6,3.67
676.0,11.47,4.21
677.0,11.67,3.2800000000000002
678.0,11.67,3.33
679.0,11.45,4.41
680.0,11.52,4.41
681.0,11.35,4.55
682.0,11.65,3.0900000000000003
683.0,11.62,3.23
684.0,11.6,3.72
685.0,11.57,3.48
686.0,11.65,3.23
687.0,11.62,3.2800000000000002
688.0,11.67,3.58
689.0,11.65,3.0900000000000003
690.0,11.43,4.5
691.0,11.4,4.85
692.0,11.65,3.2800000000000002
693.0,11.62,3.3800000000000003
694.0,11.35,4.8
695.0,11.35,4.75
696.0,11.65,3.33
697.0,11.67,2.84
698.0,11.6,3.14
699.0,11.43,4.41
700.0,11.43,4.45
701.0,11.62,2.94
702.0,11.6,3.2800000000000002
703.0,11.43,4.02
704.0,11.6,3.18
705.0,11.6,3.18
706.0,11.43,4.41
707.0,11.52,3.87
708.0,11.57,3.14
709.0,11.6,3.14
710.0,11.35,4.31
711.0,11.43,3.87
712.0,11.55,3.87
713.0,11.47,3.92
714.0,11.47,4.06
715.0,11.55,3.33
716.0,11.47,3.77
717.0,11.43,4.5
718.0,11.35,4.6
719.0,11.57,3.48
720.0,11.55,3.62
721.0,11.6,3.43
722.0,11.47,3.72
723.0,11.45,3.87
724.0,11.45,4.26
725.0,11.4,4.5
726.0,11.67,2.99
727.0,11.33,4.55
728.0,11.35,4.31
729.0,11.55,3.58
730.0,11.45,3.62
731.0,11.52,3.2800000000000002
732.0,11.55,3.62
733.0,11.52,3.77
734.0,11.52,3.33
735.0,11.47,3.5300000000000002
736.0,11.65,2.75
737.0,11.55,3.5300000000000002
738.0,11.6,3.2800000000000002
739.0,11.35,4.21
740.0,11.35,4.36
741.0,11.55,3.0900000000000003
742.0,11.65,2.7
743.0,11.38,4.11
744.0,11.47,3.62
745.0,11.5,3.67
746.0,11.4,3.8200000000000003
747.0,11.52,3.18
748.0,11.38,4.41
749.0,11.45,4.06
750.0,11.4,3.87
751.0,11.43,3.8200000000000003
752.0,11.52,3.5300000000000002
753.0,11.4,3.92
754.0,11.4,4.02
755.0,11.65,2.7
756.0,11.65,2.75
757.0,11.47,3.77
758.0,11.55,3.58
759.0,11.52,3.5300000000000002
760.0,11.67,2.89
761.0,11.35,4.41
762.0,11.6,2.75
763.0,11.52,3.18
764.0,11.52,3.62
765.0,11.5,3.72
766.0,11.45,3.5300000000000002
767.0,11.47,3.48
768.0,11.5,3.67
769.0,11.6,2.99
770.0,11.65,3.0900000000000003
771.0,11.43,3.72
772.0,11.52,3.23
773.0,11.47,4.02
774.0,11.45,3.97
775.0,11.4,3.87
776.0,11.43,3.67
777.0,11.4,4.26
778.0,11.5,3.62
779.0,11.62,2.75
780.0,11.65,2.65
781.0,11.5,3.43
782.0,11.65,2.7
783.0,11.38,4.41
784.0,11.67,2.94
785.0,11.5,3.3800000000000003
786.0,11.65,2.75
787.0,11.38,4.5
788.0,11.38,4.02
789.0,11.62,2.75
790.0,11.6,2.89
791.0,11.47,3.97
792.0,11.45,3.97
793.0,11.5,3.33
794.0,11.5,3.72
795.0,11.43,4.36
796.0,11.65,2.75
797.0,11.55,3.48
798.0,11.43,3.8200000000000003
799.0,11.52,3.23
800.0,11.4,4.31
801.0,11.67,2.94
802.0,11.5,3.77
803.0,11.62,2.94
804.0,11.55,3.48
805.0,11.65,2.84
806.0,11.5,3.87
807.0,11.62,2.79
808.0,11.6,3.43
809.0,11.55,3.0900000000000003
810.0,11.35,4.26
811.0,11.65,2.75
812.0,11.35,4.26
813.0,11.65,2.79
814.0,11.4,3.77
815.0,11.6,2.21
816.0,11.33,3.77
817.0,11.43,1.23
818.0,11.3,2.65
819.0,11.43,4.7
820.0,11.25,2.6
821.0,11.4,2.99
823.0,11.47,4.06
824.0,11.6,3.04
825.0,11.47,3.58
826.0,11.47,3.3800000000000003
827.0,11.52,3.33
828.0,11.43,3.33
829.0,11.3,3.77
830.0,11.35,4.16
831.0,11.65,2.5
832.0,11.65,2.35
833.0,11.33,4.02
834.0,11.38,3.48
835.0,11.6,1.96
836.0,11.62,1.96
837.0,11.35,3.0900000000000003
838.0,11.28,3.18
839.0,11.33,1.67
840.0,11.57,2.06
841.0,11.62,4.11
842.0,11.33,3.33
843.0,11.45,1.13
844.0,11.47,3.48
845.0,11.43,3.2800000000000002
846.0,11.35,3.8200000000000003
847.0,11.33,3.92
848.0,11.5,2.31
849.0,11.45,2.6
