Waktu (detik),Tegangan (V),Arus (A)
846.0,12.5,3.67
847.0,12.72,2.75
848.0,12.48,4.21
849.0,12.52,3.58
850.0,12.45,4.31
851.0,12.67,2.94
852.0,12.52,4.02
853.0,12.72,2.7
854.0,12.72,3.0900000000000003
855.0,12.48,3.77
856.0,12.7,2.84
857.0,12.43,4.41
858.0,12.65,2.94
859.0,12.7,2.89
860.0,12.45,3.87
861.0,12.7,2.84
862.0,12.74,2.55
863.0,12.4,4.5
864.0,12.65,3.0900000000000003
865.0,12.5,4.21
866.0,12.52,3.87
867.0,12.72,2.7
868.0,12.65,3.0900000000000003
869.0,12.55,3.3800000000000003
870.0,12.7,3.0900000000000003
871.0,12.72,2.65
872.0,12.6,3.58
873.0,12.72,2.99
874.0,12.48,4.16
875.0,12.62,3.3800000000000003
876.0,12.4,3.87
877.0,12.5,4.16
878.0,12.67,3.18
879.0,12.38,4.5
880.0,12.6,3.48
881.0,12.52,4.06
882.0,12.74,2.75
883.0,12.6,3.62
884.0,12.74,2.6
885.0,12.4,4.26
886.0,12.38,4.31
887.0,12.74,2.5
888.0,12.77,2.75
889.0,12.43,4.41
890.0,12.48,4.26
891.0,12.74,2.65
892.0,12.6,3.62
893.0,12.7,2.84
894.0,12.5,4.02
895.0,12.5,4.06
896.0,12.7,2.65
897.0,12.77,2.65
898.0,12.38,4.41
899.0,12.5,3.3800000000000003
900.0,12.7,3.23
901.0,12.4,4.45
902.0,12.4,4.45
903.0,12.72,2.75
904.0,12.72,2.7
905.0,12.52,3.97
906.0,12.43,4.36
907.0,12.77,2.7
908.0,12.62,3.48
909.0,12.38,4.45
910.0,12.7,2.7
911.0,12.72,2.65
912.0,12.52,3.5300000000000002
913.0,12.72,2.7
914.0,12.38,4.6
915.0,12.5,3.58
916.0,12.55,3.77
917.0,12.48,4.21
918.0,12.55,3.92
919.0,12.77,2.6
920.0,12.57,3.62
921.0,12.48,3.72
922.0,12.67,2.89
923.0,12.45,3.87
924.0,12.62,3.04
925.0,12.38,4.21
926.0,12.62,3.48
927.0,12.48,4.21
928.0,12.6,3.14
929.0,12.52,3.3800000000000003
930.0,12.7,2.79
931.0,12.38,4.36
932.0,12.48,3.77
933.0,12.67,2.94
934.0,12.35,4.36
935.0,12.7,2.79
936.0,12.7,2.84
937.0,12.74,2.99
938.0,12.72,2.65
939.0,12.38,4.31
940.0,12.72,2.99
941.0,12.52,3.92
942.0,12.65,3.2800000000000002
943.0,12.43,4.45
944.0,12.48,4.21
945.0,12.74,2.6
946.0,12.77,2.79
947.0,12.5,3.5300000000000002
948.0,12.65,3.04
949.0,12.72,2.65
950.0,12.4,4.26
951.0,12.38,4.45
952.0,12.67,3.18
953.0,12.65,3.2800000000000002
954.0,12.62,3.14
955.0,12.4,4.31
956.0,12.65,3.2800000000000002
957.0,12.5,4.02
958.0,12.4,4.02
959.0,12.45,4.41
960.0,12.52,3.3800000000000003
961.0,12.35,4.5
962.0,12.6,3.18
963.0,12.67,2.89
964.0,12.4,4.41
965.0,12.74,2.84
966.0,12.57,3.62
967.0,12.55,3.33
968.0,12.38,4.06
969.0,12.5,3.92
970.0,12.38,4.06
971.0,12.45,4.16
972.0,12.45,3.77
973.0,12.5,3.97
974.0,12.65,3.2800000000000002
975.0,12.57,3.23
976.0,12.45,3.5300000000000002
977.0,12.55,3.62
978.0,12.62,3.3800000000000003
979.0,12.45,3.62
980.0,12.65,2.84
981.0,12.7,2.75
982.0,12.43,4.26
983.0,12.55,3.72
984.0,12.55,3.3800000000000003
985.0,12.4,4.41
986.0,12.33,4.41
987.0,12.74,2.84
988.0,12.6,3.43
989.0,12.62,3.14
990.0,12.6,3.58
991.0,12.6,3.0900000000000003
992.0,12.55,3.23
993.0,12.45,4.06
994.0,12.38,4.36
995.0,12.55,3.77
996.0,12.35,4.5
997.0,12.57,3.23
998.0,12.4,3.87
999.0,12.74,2.75
1000.0,12.57,3.5300000000000002
1001.0,12.74,2.89
1002.0,12.5,3.97
1003.0,12.7,2.75
1004.0,12.7,3.04
1005.0,12.38,4.45
1006.0,12.7,2.84
1007.0,12.7,2.65
1008.0,12.4,4.41
1009.0,12.35,4.45
1010.0,12.7,3.14
1011.0,12.57,3.58
1012.0,12.5,3.58
1013.0,12.57,3.58
1014.0,12.38,4.41
1015.0,12.65,3.18
1016.0,12.43,4.21
1017.0,12.74,2.55
1018.0,12.74,2.75
1019.0,12.52,3.72
1020.0,12.55,3.72
1021.0,12.4,3.87
